"x";"y";"flowers";"seedlings";"vegetative";"gopher";"rockiness";"moisture";"flowcol";"seedcol";"vegcol";"gophcol";"rockcol";"moiscol"
7;15;21;0;23;1;84;2.5;3;5;1;4;2;4
7;17;36;0;18;1;77;2;2;5;2;4;3;4
7;19;55;11;10;2;25;4.5;1;1;3;3;4;4
7;21;52;5;6;3;0;5.5;1;3;3;3;5;4
7;23;21;11;3;5;0;4;3;1;4;2;5;4
7;25;20;22;4;8;0;3.5;3;1;4;1;5;4
7;27;18;0;0;6;11;7.5;4;5;5;1;4;4
7;29;16;11;1;0;0;2;4;1;5;5;5;4
7;31;15;0;0;2;15;5;4;5;5;3;4;4
9;1;20;1;2;2;69;2.5;3;4;5;3;3;4
9;3;16;0;1;3;28;4.5;4;5;5;3;3;4
9;5;21;0;11;1;60;3;3;5;3;4;3;4
9;7;43;4;8;1;177;2;1;3;3;4;1;4
9;9;104;1;39;0;111;1;1;4;1;5;2;4
9;11;46;0;7;4;156;2;1;5;3;2;1;4
9;13;22;0;18;3;78;1.5;3;5;2;3;3;4
9;15;28;1;34;1;111;1;2;4;1;4;2;4
9;17;14;1;35;2;10;2;4;4;1;3;4;4
9;19;25;1;12;1;15;3.5;3;4;2;4;4;4
9;21;29;28;9;6;0;4;2;1;3;1;5;4
9;23;15;6;5;8;0;5;4;2;4;1;5;4
9;25;17;0;5;7;0;5.5;4;5;4;1;5;4
9;27;11;11;4;6;5;4.5;5;1;4;1;4;4
9;29;8;18;0;5;0;3.5;5;1;5;2;5;4
9;31;13;0;1;5;0;5;5;5;5;2;5;4
11;1;7;0;1;5;0;4;5;5;5;2;5;4
11;3;12;0;4;9;16;4;5;5;4;1;4;4
11;5;26;4;4;3;0;5;3;3;4;3;5;4
11;7;8;0;6;0;104;4.5;5;5;3;5;2;4
11;9;67;10;22;0;168;3.5;1;2;1;5;1;4
11;11;79;0;16;0;155;1;1;5;2;5;2;4
11;13;22;1;18;2;109;3;3;4;2;3;2;4
11;15;24;0;7;1;52;3.5;3;5;3;4;3;4
11;17;27;0;16;0;131;2;2;5;2;5;2;4
11;19;27;0;19;1;8;4.5;2;5;1;4;4;4
11;21;44;0;38;4;0;5.5;1;5;1;2;5;4
11;23;14;14;5;8;0;8;4;1;4;1;5;4
11;25;37;2;3;10;35;5.5;2;3;4;1;3;4
11;27;25;0;6;8;0;6.5;3;5;3;1;5;4
11;29;14;16;8;7;0;5;4;1;3;1;5;4
11;31;25;12;0;4;4;3;3;1;5;2;4;4
13;1;5;0;0;7;0;5;5;5;5;1;5;3
13;3;10;4;2;9;0;4.5;5;3;5;1;5;3
13;5;4;0;0;8;0;3.5;5;5;5;1;5;3
13;7;6;0;0;2;50;2.5;5;5;5;3;3;3
13;9;35;5;18;3;119;3;2;3;2;3;2;3
13;11;42;1;16;2;130;3.5;2;4;2;3;2;3
13;13;17;0;3;3;54;4;4;5;4;3;3;3
13;15;27;1;17;1;35;1.5;2;4;2;4;3;3
13;17;24;0;22;1;90;1;3;5;1;4;2;3
13;19;44;0;21;0;72;3;1;5;1;5;3;3
13;21;36;0;13;4;22;5;2;5;2;2;4;3
13;23;15;1;12;3;0;4.5;4;4;2;3;5;3
13;25;30;5;8;6;0;4.5;2;3;3;1;5;3
13;27;24;4;8;2;0;4;3;3;3;3;5;3
13;29;21;9;5;4;0;5;3;2;4;2;5;3
13;31;9;8;8;3;0;6;5;2;3;3;5;3
15;1;7;0;0;8;0;4.5;5;5;5;1;5;3
15;3;10;0;0;7;0;2.5;5;5;5;1;5;3
15;5;6;0;0;5;0;4;5;5;5;2;5;3
15;7;13;0;9;6;14;3.5;5;5;3;1;4;3
15;9;80;9;12;1;183;1;1;2;2;4;1;3
15;11;51;0;7;1;147;2;1;5;3;4;2;3
15;13;26;0;4;0;36;4;3;5;4;5;3;3
15;15;17;0;12;12;39;5;4;5;2;1;3;3
15;17;41;1;17;0;144;4;2;4;2;5;2;3
15;19;89;16;21;1;153;4.5;1;1;1;4;2;3
15;21;49;4;8;2;60;3.5;1;3;3;3;3;3
15;23;37;12;1;3;0;6;2;1;5;3;5;3
15;25;26;0;2;4;0;4;3;5;5;2;5;3
15;27;23;4;0;6;0;4;3;3;5;1;5;3
15;29;23;0;4;2;0;3;3;5;4;3;5;3
15;31;19;6;2;4;0;5.5;4;2;5;2;5;3
17;1;0;1;0;10;0;2.5;5;4;5;1;5;3
17;3;2;4;7;9;23;1;5;3;3;1;4;3
17;5;14;7;3;8;0;2;4;2;4;1;5;3
17;7;8;0;6;8;19;4;5;5;3;1;4;3
17;9;45;11;20;0;193;2;1;1;1;5;1;3
17;11;73;1;14;0;182;3.5;1;4;2;5;1;3
17;13;66;2;13;0;215;3;1;3;2;5;1;3
17;15;43;0;16;3;163;4;1;5;2;3;1;3
17;17;23;0;29;5;148;2;3;5;1;2;2;3
17;19;71;0;24;1;202;2.5;1;5;1;4;1;3
17;21;70;0;23;2;151;3;1;5;1;3;2;3
17;23;19;0;1;4;0;4;4;5;5;2;5;3
17;25;32;0;20;2;0;5.5;2;5;1;3;5;3
17;27;28;4;9;4;0;8;2;3;3;2;5;3
17;29;17;0;1;1;0;5.5;4;5;5;4;5;3
17;31;25;7;5;1;0;6.5;3;2;4;4;5;3
19;1;3;0;3;6;0;5.5;5;5;4;1;5;3
19;3;1;0;0;7;0;4;5;5;5;1;5;3
19;5;9;0;8;5;0;8;5;5;3;2;5;3
19;7;14;1;1;8;0;3.5;4;4;5;1;5;3
19;9;26;1;10;5;0;4;3;4;3;2;5;3
19;11;23;0;12;4;131;2.5;3;5;2;2;2;3
19;13;55;3;6;2;192;3;1;3;3;3;1;3
19;15;93;5;40;1;202;2;1;3;1;4;1;3
19;17;60;13;46;2;138;3;1;1;1;3;2;3
19;19;49;0;9;3;100;2;1;5;3;3;2;2
19;21;57;8;28;0;156;4;1;2;1;5;1;2
19;23;23;0;15;0;97;4.5;3;5;2;5;2;2
19;25;5;0;2;2;0;3.5;5;5;5;3;5;2
19;27;22;28;5;6;0;4.5;3;1;4;1;5;2
19;29;4;0;0;4;0;5.5;5;5;5;2;5;2
19;31;13;0;1;2;0;6.5;5;5;5;3;5;2
21;1;14;0;2;6;0;6;4;5;5;1;5;2
21;3;5;1;1;13;0;4;5;4;5;1;5;2
21;5;19;4;3;11;0;5.5;4;3;4;1;5;2
21;7;16;0;0;5;0;5.5;4;5;5;2;5;2
21;9;20;0;5;9;0;2;3;5;4;1;5;2
21;11;35;11;11;2;0;3;2;1;3;3;5;2
21;13;28;8;14;0;0;5;2;2;2;5;5;2
21;15;87;6;28;1;175;2;1;2;1;4;1;2
21;17;80;5;24;3;155;1;1;3;1;3;2;2
21;19;40;0;14;1;75;2;2;5;2;4;3;2
21;21;53;3;38;2;127;2;1;3;1;3;2;2
21;23;76;0;27;1;184;2.5;1;5;1;4;1;2
21;25;14;0;14;0;21;5.5;4;5;2;5;4;2
21;27;16;7;19;2;0;3.5;4;2;1;3;5;2
21;29;23;0;3;5;0;6;3;5;4;2;5;2
21;31;9;25;0;3;0;5.5;5;1;5;3;5;2
23;1;20;0;12;3;0;5.5;3;5;2;3;5;2
23;3;16;7;4;6;0;4;4;2;4;1;5;2
23;5;22;0;9;9;0;6;3;5;3;1;5;2
23;7;15;0;7;10;0;3.5;4;5;3;1;5;2
23;9;35;0;8;8;0;4.5;2;5;3;1;5;2
23;11;43;7;6;3;0;6.5;1;2;3;3;5;2
23;13;17;0;3;4;0;4;4;5;4;2;5;2
23;15;9;0;2;3;0;6;5;5;5;3;5;2
23;17;21;6;4;1;49;2;3;2;4;4;3;2
23;19;40;0;21;0;157;3.5;2;5;1;5;1;2
23;21;107;5;33;0;155;2.5;1;3;1;5;2;2
23;23;80;1;44;1;127;3;1;4;1;4;2;2
23;25;16;0;6;2;101;2.5;4;5;3;3;2;2
23;27;4;0;9;3;0;4;5;5;3;3;5;2
23;29;14;0;6;2;0;5.5;4;5;3;3;5;2
23;31;9;0;5;4;0;4;5;5;4;2;5;2
25;1;30;0;26;4;0;3;2;5;1;2;5;2
25;3;18;0;3;7;0;4;4;5;4;1;5;2
25;5;21;0;9;6;0;5.5;3;5;3;1;5;2
25;7;18;7;12;8;0;5;4;2;2;1;5;2
25;9;31;10;2;7;0;4.5;2;2;5;1;5;1
25;11;11;7;0;5;15;4;5;2;5;2;4;1
25;13;31;10;3;7;0;5.5;2;2;4;1;5;1
25;15;8;0;3;5;0;2.5;5;5;4;2;5;1
25;17;17;0;5;4;60;3;4;5;4;2;3;1
25;19;67;0;45;1;198;4;1;5;1;4;1;1
25;21;90;0;17;0;174;3.5;1;5;2;5;1;1
25;23;79;7;60;0;201;2.5;1;2;1;5;1;1
25;25;65;0;27;2;187;3;1;5;1;3;1;1
25;27;24;0;10;4;52;2.5;3;5;3;2;3;1
25;29;13;4;12;1;0;3;5;3;2;4;5;1
25;31;12;0;3;2;0;5;5;5;4;3;5;1
27;1;14;0;22;8;0;6;4;5;1;1;5;1
27;3;46;0;18;3;0;6;1;5;2;3;5;1
27;5;18;0;16;5;0;6.5;4;5;2;2;5;1
27;7;46;9;19;4;0;6;1;2;1;2;5;1
27;9;29;6;3;1;0;5.5;2;2;4;4;5;1
27;11;43;7;4;2;0;5.5;1;2;4;3;5;1
27;13;37;0;2;5;0;6;2;5;5;2;5;1
27;15;27;0;12;6;13;4.5;2;5;2;1;4;1
27;17;39;0;13;1;90;5;2;5;2;4;2;1
27;19;108;1;35;2;201;6;1;4;1;3;1;1
27;21;139;6;32;0;183;3.5;1;2;1;5;1;1
27;23;118;10;34;0;200;3;1;2;1;5;1;1
27;25;95;0;49;0;186;6;1;5;1;5;1;1
27;27;39;1;16;0;190;5;2;4;2;5;1;1
27;29;35;0;31;0;0;3;2;5;1;5;5;1
27;31;33;0;12;1;5;1;2;5;2;4;4;1
29;1;18;0;13;5;0;6.5;4;5;2;2;5;1
29;3;25;5;2;4;0;7;3;3;5;2;5;1
29;5;21;4;7;7;0;5.5;3;3;3;1;5;1
29;7;16;1;5;9;0;4;4;4;4;1;5;1
29;9;25;3;8;5;0;6;3;3;3;2;5;1
29;11;33;15;1;4;0;5.5;2;1;5;2;5;1
29;13;42;8;8;4;25;6;2;2;3;2;4;1
29;15;37;0;18;1;24;5.5;2;5;2;4;4;1
29;17;49;2;8;0;152;5;1;3;3;5;2;1
29;19;65;0;23;0;118;2.5;1;5;1;5;2;1
29;21;68;1;46;0;197;2;1;4;1;5;1;1
29;23;65;1;20;0;173;2.5;1;4;1;5;1;1
29;25;21;1;9;1;153;4.5;3;4;3;4;2;1
29;27;27;0;19;2;74;3;2;5;1;3;3;1
29;29;28;8;5;3;0;5.5;2;2;4;3;5;1
29;31;14;0;2;1;0;4.5;4;5;5;4;5;1
31;1;24;0;8;5;0;6;3;5;3;2;5;1
31;3;32;11;13;6;0;5.5;2;1;2;1;5;1
31;5;16;22;11;4;0;5.5;4;1;3;2;5;1
31;7;19;0;5;4;0;5;4;5;4;2;5;1
31;9;12;24;25;5;0;6;5;1;1;2;5;1
31;11;30;12;15;3;0;5.5;2;1;2;3;5;1
31;13;33;16;4;4;0;3;2;1;4;2;5;1
31;15;35;24;5;1;4;3.5;2;1;4;4;4;1
31;17;22;0;6;0;74;4;3;5;3;5;3;1
31;19;27;0;11;0;163;5.5;2;5;3;5;1;1
31;21;28;1;3;0;159;2.5;2;4;4;5;1;1
31;23;39;1;5;0;210;4.5;2;4;4;5;1;1
31;25;22;3;4;2;82;3.5;3;3;4;3;3;1
31;27;30;1;10;4;18;5.5;2;4;3;2;4;1
31;29;49;4;15;5;0;3;1;3;2;2;5;1
31;31;25;0;0;1;0;5;3;5;5;4;5;1
