"site" "pulse" "obs" "density"
"Hin" 5 10 48.2
"Hin" 6 1 0
"Hin" 6 2 0
"Hin" 6 3 0
"Hin" 6 4 1.9
"Hin" 6 5 3.9
"Hin" 6 6 5.8
"Hin" 6 7 5.8
"Hin" 6 8 7.7
"Hin" 6 9 17.3
"Hin" 6 10 25
"Hout" 1 1 0
"Hout" 1 2 0
"Hout" 1 3 0
"Hout" 1 4 0
"Hout" 1 5 0
"Hout" 1 6 0
"Hout" 1 7 0
"Hout" 1 8 0
"Hout" 1 9 4.4
"Hout" 1 10 4.4
"Hout" 2 1 0
"Hout" 2 2 0
"Hout" 2 3 0
"Hout" 2 4 0
"Hout" 2 5 0
"Hout" 2 6 4.4
"Hout" 2 7 4.4
"Hout" 2 8 4.4
"Hout" 2 9 8.8
"Hout" 2 10 13.2
"Hout" 3 1 0
"Hout" 3 2 0
"Hout" 3 3 0
"Hout" 3 4 0
"Hout" 3 5 7
"Hout" 3 6 7
"Hout" 3 7 10.5
"Hout" 3 8 14
"Hout" 3 9 14
"Hout" 3 10 20.9
"Hout" 4 1 14
"Hout" 4 2 15.4
"Hout" 4 3 24.4
"Hout" 4 4 24.4
"Hout" 4 5 27.9
"Hout" 4 6 27.9
"Hout" 4 7 31.4
"Hout" 4 8 41.9
"Hout" 4 9 45.3
"Hout" 4 10 48.8
"Hout" 5 1 0
"Hout" 5 2 3.5
"Hout" 5 3 3.5
"Hout" 5 4 17.4
"Hout" 5 5 24.4
"Hout" 5 6 27.9
"Hout" 5 7 31.4
"Hout" 5 8 45.3
"Hout" 5 9 66.3
"Hout" 5 10 73.2
"Hout" 6 1 0
"Hout" 6 2 3.5
"Hout" 6 3 3.5
"Hout" 6 4 3.5
"Hout" 6 5 10.5
"Hout" 6 6 14
"Hout" 6 7 20.9
"Hout" 6 8 24.4
"Hout" 6 9 31.4
"Hout" 6 10 55.8
"Lin" 1 1 0
"Lin" 1 2 5.3
"Lin" 1 3 5.3
"Lin" 1 4 5.3
"Lin" 1 5 5.3
"Lin" 1 6 10.7
"Lin" 1 7 10.7
"Lin" 1 8 10.7
"Lin" 1 9 10.7
"Lin" 1 10 21.4
"Lin" 2 1 0
"Lin" 2 2 5.3
"Lin" 2 3 5.3
"Lin" 2 4 5.3
"Lin" 2 5 5.3
"Lin" 2 6 10.7
"Lin" 2 7 16
"Lin" 2 8 16
"Lin" 2 9 16
"Lin" 2 10 26.7
"Lin" 3 1 3.6
"Lin" 3 2 7.1
"Lin" 3 3 10.7
"Lin" 3 4 10.7
"Lin" 3 5 10.7
"Lin" 3 6 10.7
"Lin" 3 7 10.7
"Lin" 3 8 14.2
"Lin" 3 9 21.4
"Lin" 3 10 46.3
"Lin" 4 1 7.1
"Lin" 4 2 10.7
"Lin" 4 3 10.7
"Lin" 4 4 10.7
"Lin" 4 5 24.9
"Lin" 4 6 39.1
"Lin" 4 7 42.7
"Lin" 4 8 49.8
"Lin" 4 9 99.6
"Lin" 4 10 223.2
"Lin" 5 1 0
"Lin" 5 2 0
"Lin" 5 3 0
"Lin" 5 4 0
"Lin" 5 5 0
"Lin" 5 6 10.7
"Lin" 5 7 46.3
"Lin" 5 8 56.9
"Lin" 5 9 78.3
"Lin" 5 10 188.4
"Lin" 6 1 7.1
"Lin" 6 2 10.7
"Lin" 6 3 17.8
"Lin" 6 4 24.9
"Lin" 6 5 24.9
"Lin" 6 6 32
"Lin" 6 7 32
"Lin" 6 8 32
"Lin" 6 9 39.1
"Lin" 6 10 85.4
"Maa" 1 1 0
"Maa" 1 2 2.5
"Maa" 1 3 2.5
"Maa" 1 4 5.1
"Maa" 1 5 7.6
"Maa" 1 6 7.6
"Maa" 1 7 12.7
"Maa" 1 8 17.8
"Maa" 1 9 20.4
"Maa" 1 10 22.9
"Maa" 2 1 0
"Maa" 2 2 0
"Maa" 2 3 0
"Maa" 2 4 0
"Maa" 2 5 0
"Maa" 2 6 0
"Maa" 2 7 2.5
"Maa" 2 8 2.5
"Maa" 2 9 2.5
"Maa" 2 10 7.6
"Maa" 3 1 1.3
"Maa" 3 2 1.3
"Maa" 3 3 2.5
"Maa" 3 4 3.8
"Maa" 3 5 3.8
"Maa" 3 6 3.8
"Maa" 3 7 6.3
"Maa" 3 8 8.9
"Maa" 3 9 11.4
"Maa" 3 10 29.2
"Maa" 4 1 8.9
"Maa" 4 2 16.5
"Maa" 4 3 19
"Maa" 4 4 22.9
"Maa" 4 5 24.1
"Maa" 4 6 24.1
"Maa" 4 7 25.4
"Maa" 4 8 27.9
"Maa" 4 9 35.5
"Maa" 4 10 127
"Maa" 5 1 5.1
"Maa" 5 2 7.6
"Maa" 5 3 8.9
"Maa" 5 4 8.9
"Maa" 5 5 11.4
"Maa" 5 6 14
"Maa" 5 7 16.5
"Maa" 5 8 17.8
"Maa" 5 9 17.8
"Maa" 5 10 29.2
"Maa" 6 1 1.3
"Maa" 6 2 2.5
"Maa" 6 3 2.5
"Maa" 6 4 2.5
"Maa" 6 5 3.8
"Maa" 6 6 3.8
"Maa" 6 7 3.8
"Maa" 6 8 6.3
"Maa" 6 9 8.9
"Maa" 6 10 11.4
"Maha" 1 1 7.6
"Maha" 1 2 11.4
"Maha" 1 3 11.4
"Maha" 1 4 15.2
"Maha" 1 5 15.2
"Maha" 1 6 15.2
"Maha" 1 7 19
"Maha" 1 8 19
"Maha" 1 9 22.9
"Maha" 1 10 22.9
"Maha" 2 1 15.2
"Maha" 2 2 19
"Maha" 2 3 22.9
"Maha" 2 4 30.5
"Maha" 2 5 30.5
"Maha" 2 6 34.3
"Maha" 2 7 34.3
"Maha" 2 8 38.1
"Maha" 2 9 41.9
"Maha" 2 10 45.7
"Maha" 3 1 8.4
"Maha" 3 2 11.2
"Maha" 3 3 11.2
"Maha" 3 4 14
"Maha" 3 5 22.5
"Maha" 3 6 25.3
"Maha" 3 7 25.3
"Maha" 3 8 28.1
"Maha" 3 9 30.9
"Maha" 3 10 61.8
"Maha" 4 1 39.3
"Maha" 4 2 56.2
"Maha" 4 3 118
"Maha" 4 4 146.1
"Maha" 4 5 174.2
"Maha" 4 6 199.4
"Maha" 4 7 283.7
"Maha" 4 8 353.9
"Maha" 4 9 353.9
"Maha" 4 10 353.9
"Maha" 5 1 5.6
"Maha" 5 2 16.9
"Maha" 5 3 19.7
"Maha" 5 4 22.5
"Maha" 5 5 25.3
"Maha" 5 6 25.3
"Maha" 5 7 33.7
"Maha" 5 8 36.5
"Maha" 5 9 36.5
"Maha" 5 10 39.3
"Maha" 6 1 0
"Maha" 6 2 0
"Maha" 6 3 5.6
"Maha" 6 4 8.4
"Maha" 6 5 11.2
"Maha" 6 6 14
"Maha" 6 7 14
"Maha" 6 8 14
"Maha" 6 9 16.9
"Maha" 6 10 22.5
"OctC" 1 1 6.2
"OctC" 1 2 6.2
"OctC" 1 3 6.2
"OctC" 1 4 9.3
"OctC" 1 5 9.3
"OctC" 1 6 12.3
"OctC" 1 7 12.3
"OctC" 1 8 12.3
"OctC" 1 9 12.3
"OctC" 1 10 15.4
"OctC" 2 1 12.3
"OctC" 2 2 18.5
"OctC" 2 3 18.5
"OctC" 2 4 21.6
"OctC" 2 5 21.6
"OctC" 2 6 27.8
"OctC" 2 7 27.8
"OctC" 2 8 30.9
"OctC" 2 9 30.9
"OctC" 2 10 30.9
"OctC" 3 1 0
"OctC" 3 2 0
"OctC" 3 3 0
"OctC" 3 4 0
"OctC" 3 5 7.6
"OctC" 3 6 15.2
"OctC" 3 7 19
"OctC" 3 8 22.8
"OctC" 3 9 34.1
"OctC" 3 10 34.1
"OctC" 4 1 15.2
"OctC" 4 2 26.6
"OctC" 4 3 79.7
"OctC" 4 4 87.3
"OctC" 4 5 91
"OctC" 4 6 91
"OctC" 4 7 91
"OctC" 4 8 110
"OctC" 4 9 148
"OctC" 4 10 166.9
"OctC" 5 1 11.4
"OctC" 5 2 19
"OctC" 5 3 22.8
"OctC" 5 4 26.6
"OctC" 5 5 30.3
"OctC" 5 6 34.1
"OctC" 5 7 34.1
"OctC" 5 8 37.9
"OctC" 5 9 53.1
"OctC" 5 10 64.5
"OctC" 6 1 3.8
"OctC" 6 2 3.8
"OctC" 6 3 7.6
"OctC" 6 4 7.6
"OctC" 6 5 7.6
"OctC" 6 6 15.2
"OctC" 6 7 15.2
"OctC" 6 8 19
"OctC" 6 9 22.8
"OctC" 6 10 22.8
"Socc" 1 1 4.7
"Socc" 1 2 4.7
"Socc" 1 3 4.7
"Socc" 1 4 4.7
"Socc" 1 5 6.2
"Socc" 1 6 9.4
"Socc" 1 7 9.4
"Socc" 1 8 9.4
"Socc" 1 9 14.2
"Socc" 1 10 23.6
"Socc" 2 1 9.4
"Socc" 2 2 9.4
"Socc" 2 3 9.4
"Socc" 2 4 9.4
"Socc" 2 5 14.2
"Socc" 2 6 14.2
"Socc" 2 7 14.2
"Socc" 2 8 28.3
"Socc" 2 9 47.2
"Socc" 2 10 51.9
"Socc" 3 1 0
"Socc" 3 2 0
"Socc" 3 3 6
"Socc" 3 4 9
"Socc" 3 5 15
"Socc" 3 6 15
"Socc" 3 7 21
"Socc" 3 8 30
"Socc" 3 9 38.9
"Socc" 3 10 41.9
"Socc" 4 1 6
"Socc" 4 2 24
"Socc" 4 3 33
"Socc" 4 4 41.9
"Socc" 4 5 49.8
"Socc" 4 6 62.9
"Socc" 4 7 77.9
"Socc" 4 8 80.9
"Socc" 4 9 146.8
"Socc" 4 10 167.8
"Socc" 5 1 0
"Socc" 5 2 0
"Socc" 5 3 0
"Socc" 5 4 6
"Socc" 5 5 15
"Socc" 5 6 18
"Socc" 5 7 33
"Socc" 5 8 74.9
"Socc" 5 9 77.9
"Socc" 5 10 78.3
"Socc" 6 1 0
"Socc" 6 2 3
"Socc" 6 3 17.97
"Socc" 6 4 20.97
"Socc" 6 5 20.97
"Socc" 6 6 20.97
"Socc" 6 7 26.96
"Socc" 6 8 26.96
"Socc" 6 9 32.95
"Socc" 6 10 38.95
"Temae" 1 1 6.17
"Temae" 1 2 11.63
"Temae" 1 3 15.5
"Temae" 1 4 15.5
"Temae" 1 5 19.38
"Temae" 1 6 31.01
"Temae" 1 7 31.01
"Temae" 1 8 34.88
"Temae" 1 9 50.39
"Temae" 1 10 65.89
"Temae" 2 1 0
"Temae" 2 2 7.8
"Temae" 2 3 11.6
"Temae" 2 4 11.6
"Temae" 2 5 15.5
"Temae" 2 6 23.3
"Temae" 2 7 23.3
"Temae" 2 8 27.1
"Temae" 2 9 38.8
"Temae" 2 10 50.4
"Temae" 3 1 0
"Temae" 3 2 0
"Temae" 3 3 0
"Temae" 3 4 6
"Temae" 3 5 23.9
"Temae" 3 6 29.9
"Temae" 3 7 29.9
"Temae" 3 8 32.9
"Temae" 3 9 35.9
"Temae" 3 10 41.9
"Temae" 4 1 26.9
"Temae" 4 2 74.7
"Temae" 4 3 95.7
"Temae" 4 4 185.4
"Temae" 4 5 191.3
"Temae" 4 6 191.3
"Temae" 4 7 194.3
"Temae" 4 8 221.2
"Temae" 4 9 278
"Temae" 4 10 463.4
"Temae" 5 1 0
"Temae" 5 2 0
"Temae" 5 3 0
"Temae" 5 4 12
"Temae" 5 5 44.8
"Temae" 5 6 74.7
"Temae" 5 7 74.7
"Temae" 5 8 86.7
"Temae" 5 9 98.7
"Temae" 5 10 113.6
"Temae" 6 1 0
"Temae" 6 2 0
"Temae" 6 3 0
"Temae" 6 4 12
"Temae" 6 5 29.9
"Temae" 6 6 29.9
"Temae" 6 7 44.8
"Temae" 6 8 71.7
"Temae" 6 9 77.7
"Temae" 6 10 95.7
"Vai" 1 1 0
"Vai" 1 2 0
"Vai" 1 3 0
"Vai" 1 4 0
"Vai" 1 5 0
"Vai" 1 6 1.8
"Vai" 1 7 1.8
"Vai" 1 8 1.8
"Vai" 1 9 1.8
"Vai" 1 10 1.8
"Vai" 2 1 0
"Vai" 2 2 0
"Vai" 2 3 0
"Vai" 2 4 0
"Vai" 2 5 0
"Vai" 2 6 0
"Vai" 2 7 0
"Vai" 2 8 0
"Vai" 2 9 0
"Vai" 2 10 1.8
"Vai" 3 1 0
"Vai" 3 2 0
"Vai" 3 3 0
"Vai" 3 4 0
"Vai" 3 5 0
"Vai" 3 6 0
"Vai" 3 7 2.9
"Vai" 3 8 5.7
"Vai" 3 9 8.6
"Vai" 3 10 8.6
"Vai" 4 1 2.9
"Vai" 4 2 5.7
"Vai" 4 3 11.4
"Vai" 4 4 11.4
"Vai" 4 5 14.3
"Vai" 4 6 14.3
"Vai" 4 7 14.3
"Vai" 4 8 17.1
"Vai" 4 9 20
"Vai" 4 10 48.6
"Vai" 5 1 0
"Vai" 5 2 2.9
"Vai" 5 3 2.9
"Vai" 5 4 2.9
"Vai" 5 5 2.9
"Vai" 5 6 2.9
"Vai" 5 7 5.7
"Vai" 5 8 5.7
"Vai" 5 9 5.7
"Vai" 5 10 5.7
"Vai" 6 1 0
"Vai" 6 2 0
"Vai" 6 3 0
"Vai" 6 4 0
"Vai" 6 5 2.9
"Vai" 6 6 2.9
"Vai" 6 7 5.7
"Vai" 6 8 5.7
"Vai" 6 9 5.7
"Vai" 6 10 5.7
