VAR1;WAVE_NON;TREE_NO;C1999;C1998;C1997;C1996;C1995;C1994;C1993;C1992;C1991;NOTES_IN;G1998;G1997;G1996;G1995;G1994;G1993;G1992;G1991;G1990;DBH;DBH_MM;DBH_2;DBH_2MM;AGE;GOOD_OR;PC1998;AC1998;PC1994;AC1994;R3PC1998;RPC1994;RAC1994;RLOOKOUT;RSHREWYS;RWILLS;C8TOT;G8TOT;RAC1994I;RPC1994I;R3PC1998;AC1998I;TOTCONES
Blackbea;n;1215;0;9;3;6;0;0;0;0;0;;11;16;13;11;18;15;;;;;;;;;g;73;11;15;69;40;15;42;0;0;0;18;;;;;;18
Blackbea;n;1229;0;19;0;0;0;0;0;0;0;;18;23;20;20;19;21;21;22;23;8.5;85;72.25;722.5;43;g;169;18;87;100;63;64;59;0;0;0;19;164;501.5;544;535.5;153;19
Blackbea;n;1230;2;34;0;0;0;37;0;0;0;;17;22;17;13;13;19;17;28;30;10.7;107;114.49;1144.9;34;g;159;17;94;82;52;64;43;0;0;0;73;146;460.1;684.8;556.4;181.9;73
Blackbea;n;1231;0;0;0;0;0;33;0;0;0;;17;24;19;11;15;25;18;15;29;10.2;102;104.04;1040.4;29;g;156;17;87;86;54;58;45;0;0;0;33;144;459;591.6;550.8;173.4;33
Blackbea;n;1232;0;37;0;0;3;16;5;0;0;;9;13;20;13;9;12;12;14;;10.8;108;116.64;1166.4;41;g;93;9;38;64;46;38;42;0;0;0;61;102;453.6;410.4;496.8;97.2;61
Blackbea;n;1237;0;0;0;0;0;9;0;0;0;;18;22;17;11;15;15;14;23;22;9;90;81;810;46;g;139;18;74;83;50;52;43;0;0;0;9;135;387;468;450;162;9
Blackbea;n;1238;0;51;0;25;0;70;0;0;0;;8;9;11;10;11;16;17;22;23;9.4;94;88.36;883.6;32;g;119;8;78;49;30;55;32;0;0;0;146;104;300.8;517;282;75.2;146
Blackbea;n;1241;0;0;0;0;0;0;0;0;0;;20;21;23;21;24;21;12;23;26;7.6;76;57.76;577.6;43;g;171;20;82;109;65;56;68;0;0;0;0;165;516.8;425.6;494;152;0
Blackbea;n;1242;0;33;0;0;0;11;0;0;0;;17;29;21;23;20;22;22;20;14;10.6;106;112.36;1123.6;42;g;171;17;78;110;73;64;64;0;0;0;44;174;678.4;678.4;773.8;180.2;44
Blackbea;n;1244;0;20;0;0;0;22;0;0;0;;19;28;17;15;23;21;19;17;16;10;100;100;1000;37;g;156;19;73;102;60;57;55;0;0;0;42;159;550;570;600;190;42
Blackbea;n;1246;0;0;0;0;0;0;0;0;0;;18;20;19;17;17;21;20;29;34;8;80;64;640;27;g;177;18;104;91;56;70;53;0;0;0;0;161;424;560;448;144;0
Blackbea;n;1248;0;20;0;0;0;41;0;0;0;;18;28;23;19;11;16;13;20;23;7.4;74;54.76;547.6;38;g;153;18;72;99;70;49;53;0;0;0;61;148;392.2;362.6;518;133.2;61
Blackbea;n;1250;0;5;0;0;0;12;0;0;0;;23;24;22;21;21;20;22;25;31;9.1;91;82.81;828.1;53;g;186;23;98;111;67;67;64;0;0;0;17;178;582.4;609.7;609.7;209.3;17
Blackbea;n;1251;0;16;0;12;0;25;0;0;0;;18;25;27;16;18;17;13;30;25;6.7;67;44.89;448.9;37;g;171;18;85;104;68;60;61;0;0;0;53;164;408.7;402;455.6;120.6;53
Blackbea;n;1252;0;3;0;0;0;24;0;0;0;;18;23;17;13;14;16;12;21;22;9.7;97;94.09;940.9;35;g;138;18;71;85;53;49;44;0;0;0;27;134;426.8;475.3;514.1;174.6;27
Blackbea;n;1253;0;0;0;0;0;0;0;0;0;;17;30;25;21;23;28;21;19;27;6.8;68;46.24;462.4;27;g;194;17;95;116;76;68;69;0;0;0;0;184;469.2;462.4;516.8;115.6;0
Blackbea;n;1254;0;24;0;0;0;50;0;0;0;;13;17;13;6;7;12;15;22;19;8.6;86;73.96;739.6;49;g;111;13;68;56;36;49;26;0;0;0;74;105;223.6;421.4;309.6;111.8;74
Blackbea;n;1255;0;0;0;0;0;36;0;0;0;;13;16;21;22;31;24;26;32;38;9.1;91;82.81;828.1;34;g;210;13;120;103;59;82;74;0;0;0;36;185;673.4;746.2;536.9;118.3;36
Blackbea;n;1258;0;6;0;2;0;20;0;0;0;;10;20;10;9;9;13;13;21;24;6.3;63;39.69;396.9;32;g;119;10;71;58;39;47;28;0;0;0;28;105;176.4;296.1;245.7;63;28
Blackbea;n;1260;0;17;0;2;0;37;0;0;0;;11;19;11;10;9;13;13;15;27;6.7;67;44.89;448.9;44;g;117;11;68;60;40;41;30;0;0;0;56;101;201;274.7;268;73.7;56
Blackbea;n;1263;0;0;0;0;0;0;0;0;0;;17;27;21;22;22;20;21;24;23;;;;;;g;180;17;88;109;70;65;65;0;0;0;0;174;;;;;0
Blackbea;n;1266;0;14;0;0;0;32;0;0;0;;15;21;14;10;11;15;15;20;21;10.9;109;118.81;1188.1;55;g;127;15;71;71;45;50;35;0;0;0;46;121;381.5;545;490.5;163.5;46
Blackbea;n;1273;0;0;0;0;0;0;0;0;0;;23;26;28;25;31;30;33;35;20;9.5;95;90.25;902.5;43;g;228;23;118;133;79;98;84;0;0;0;0;231;798;931;750.5;218.5;0
Blackbea;n;1274;0;9;0;0;0;6;0;0;0;;28;31;25;27;28;25;31;33;30;9.9;99;98.01;980.1;30;g;230;28;119;139;83;89;80;0;0;0;15;228;792;881.1;821.7;277.2;15
Blackbea;n;1277;0;13;0;0;0;13;0;0;0;;17;23;16;18;8;7;10;12;15;6.8;68;46.24;462.4;33;g;109;17;44;82;57;29;42;0;0;0;26;111;285.6;197.2;387.6;115.6;26
Blackbea;n;1279;0;27;0;3;0;16;0;0;0;;13;21;20;21;22;22;21;31;24;9.8;98;96.04;960.4;;g;182;13;98;97;62;74;63;0;0;0;46;171;617.4;725.2;607.6;127.4;46
Blackbea;n;1280;0;8;0;7;0;0;0;0;0;;14;31;25;22;21;21;32;33;27;7.7;77;59.29;592.9;44;g;212;14;113;113;78;86;68;0;0;0;15;199;523.6;662.2;600.6;107.8;15
Blackbea;n;1284;0;29;0;19;0;57;0;0;0;;16;22;12;13;12;30;30;29;31;12.1;121;146.41;1464.1;40;g;179;16;120;75;47;89;37;0;0;0;105;164;447.7;1076.9;568.7;193.6;105
Blackbea;n;1285;0;0;0;0;0;0;0;0;0;;26;29;20;28;20;21;27;40;18;8.2;82;67.24;672.4;28;g;203;26;106;123;77;88;68;0;0;0;0;211;557.6;721.6;631.4;213.2;0
Blackbea;n;1289;0;31;0;23;0;8;0;0;0;;30;31;30;31;29;30;29;35;32;10;100;100;1000;24;g;247;30;126;151;92;94;90;0;0;0;62;245;900;940;920;300;62
Blackbea;n;1294;0;7;0;3;0;14;0;0;0;;10;23;24;19;28;28;31;32;31;9.6;96;92.16;921.6;25;g;216;10;122;104;66;91;71;0;0;0;24;195;681.6;873.6;633.6;96;24
Blackbea;n;1166agai;0;6;0;0;0;19;0;0;0;;24;17;17;13;15;21;21;19;20;9.2;92;84.64;846.4;45;g;143;24;81;86;47;61;45;0;0;0;25;147;414;561.2;432.4;220.8;25
Blackbea;n;1178agai;0;0;0;0;0;38;3;0;0;;17;19;18;9;10;15;21;24;32;8.2;82;67.24;672.4;44;g;148;17;92;73;46;60;37;0;0;0;41;133;303.4;492;377.2;139.4;41
Blackbea;n;1180agai;9;72;4;0;0;53;0;0;0;;11;16;16;18;14;13;22;23;13;11.3;113;127.69;1276.9;41;g;135;11;71;75;50;58;48;0;0;0;138;133;542.4;655.4;565;124.3;138
Blackbea;n;1197agai;0;24;0;0;0;53;0;0;0;;12;22;19;12;12;12;14;27;28;11.6;116;134.56;1345.6;40;g;146;12;81;77;53;53;43;0;0;0;77;130;498.8;614.8;614.8;139.2;77
Blackbea;n;"1212 per";0;118.7;0;0;0;109;0;0;0;;9;11;9;8;8;9;7;7;11;15.7;157;246.49;2464.9;72;g;70;9;34;45;28;23;25;0;0;0;227.7;68;392.5;361.1;439.6;141.3;227.7
Fajita;n;906;3;10;0;0;0;15;0;0;0;;20;23;20;25;13;14;20;18;13;9.1;91;82.81;828.1;35;g;146;20;65;101;68;52;58;0;0;Fajita;28;153;527.8;473.2;618.8;182;28
Fajita;n;907;0;13;0;0;0;32;0;0;0;;10;12;13;11;10;13;13;15;14;8.9;89;79.21;792.1;61;g;101;10;55;56;36;41;34;0;0;Fajita;45;97;302.6;364.9;320.4;89;45
Fajita;n;908;0;16;0;0;0;41;0;0;0;;;;18;10;11;12;22;17;16;8.7;87;75.69;756.9;46;g;106;;67;39;28;51;39;0;0;Fajita;57;;339.3;443.7;243.6;;57
Fajita;n;909;0;45;0;0;0;64;0;0;0;;9;14;14;17;15;11;15;20;19;11;110;121;1210;48;g;125;9;65;69;45;46;46;0;0;Fajita;109;115;506;506;495;99;109
Fajita;n;910;0;0;0;0;0;28;0;0;0;;16;10;7;6;7;10;11;12;12;6.6;66;43.56;435.6;57;g;75;16;45;46;23;33;20;0;0;Fajita;28;79;132;217.8;151.8;105.6;28
Fajita;n;913;0;0;0;0;0;17;0;0;0;;11;14;13;11;11;14;14;15;14;7.1;71;50.41;504.1;56;g;106;11;57;60;38;43;35;0;0;Fajita;17;103;248.5;305.3;269.8;78.1;17
Fajita;n;918;0;26;0;0;0;65;0;0;0;;10;14;14;11;10;17;15;25;19;9;90;81;810;55;g;125;10;76;59;39;57;35;0;0;Fajita;91;116;315;513;351;90;91
Fajita;n;920;0;28;0;0;0;41;0;0;0;;15;26;22;21;22;17;14;23;20;12.4;124;153.76;1537.6;44;g;165;15;74;106;69;54;65;0;0;Fajita;69;160;806;669.6;855.6;186;69
Fajita;n;930;0;21;0;0;0;66;0;0;0;;12;16;14;12;11;14;17;26;27;12.1;121;146.41;1464.1;48;g;137;12;84;65;42;57;37;0;0;Fajita;87;122;447.7;689.7;508.2;145.2;87
Fajita;n;934;0;0;0;0;0;10;0;0;0;;10;13;12;10;10;9;11;16;21;7.5;75;56.25;562.5;43;g;102;10;57;55;35;36;32;0;0;Fajita;10;91;240;270;262.5;75;10
Fajita;n;935;0;26;0;0;0;39;0;0;0;;15;18;14;16;28;15;18;18;11;9;90;81;810;56;g;138;15;62;91;48;51;58;0;0;Fajita;65;142;522;459;432;135;65
Fajita;n;936;0;21;0;0;0;29;0;0;0;;11;17;14;14;11;14;13;25;24;8;80;64;640;36;g;132;11;76;67;45;52;39;0;0;Fajita;50;119;312;416;360;88;50
Fajita;n;937;0;4;0;0;0;23;0;0;0;;16;17;14;10;10;12;11;17;21;10.9;109;118.81;1188.1;57;g;112;16;61;67;41;40;34;0;0;Fajita;27;107;370.6;436;446.9;174.4;27
Fajita;n;941;0;5;0;0;0;25;0;0;0;;16;20;15;13;12;12;13;21;14;9.2;92;84.64;846.4;37;g;120;16;60;76;48;46;40;0;0;Fajita;30;122;368;423.2;441.6;147.2;30
Fajita;n;946;23;0;0;0;0;63;0;0;0;;13;31;22;13;10;16;15;23;27;10.1;101;102.01;1020.1;43;g;157;13;81;89;66;54;45;0;0;Fajita;86;143;454.5;545.4;666.6;131.3;86
Fajita;n;948;0;52;0;0;0;67;0;0;0;;14;21;19;18;11;16;19;31;32;12.1;121;146.41;1464.1;39;g;167;14;98;83;58;66;48;0;0;Fajita;119;149;580.8;798.6;701.8;169.4;119
Fajita;n;960;0;10;0;2;0;10;0;0;0;;13;16;19;12;10;14;21;31;21;7;70;49;490;40;g;144;13;87;70;47;66;41;0;0;Fajita;22;136;287;462;329;91;22
Fajita;n;961;0;0;0;0;0;8;0;0;0;;16;19;18;21;22;20;30;37;;6.8;68;46.24;462.4;43;g;167;16;87;96;58;87;61;0;0;Fajita;8;183;414.8;591.6;394.4;108.8;8
Fajita;n;630;0;34;9;0;0;7;3;1;0;;7;8;12;11;11;12;8;12;;8.6;86;73.96;739.6;41;n;74;7;32;49;31;32;34;0;0;Fajita;54;81;292.4;275.2;266.6;60.2;54
Fajita;n;632;0;34;25;12;7;11;13;2;0;;5;8;5;10;7;9;8;10;11;11.6;116;134.56;1345.6;36;n;68;5;38;35;23;27;22;0;0;Fajita;104;62;255.2;313.2;266.8;58;104
Fajita;n;635;0;4;0;0;0;6;4;0;0;;8;10;8;6;6;15;9;12;13;6.6;66;43.56;435.6;48;n;79;8;49;38;24;36;20;0;0;Fajita;14;74;132;237.6;158.4;52.8;14
Fajita;n;647;0;25;26;11;8;8;15;4;;;6;9;6;9;8;10;10;7;17;10.1;101;102.01;1020.1;40;n;76;6;44;38;24;27;23;0;0;Fajita;97;65;232.3;272.7;242.4;60.6;
Fajita;n;654;0;11;0;22;12;26;10;2;;;10;12;5;13;7;13;16;14;13;9.4;94;88.36;883.6;36;n;93;10;56;47;30;43;25;0;0;Fajita;83;90;235;404.2;282;94;
Fajita;n;665;0;23;13;10;3;;;;;;8;10;15;8;8;7;;;;10.2;102;104.04;1040.4;45;n;48;8;7;49;33;7;31;0;0;Fajita;;;316.2;71.4;336.6;81.6;
Fajita;n;671;0;2;6;11;6;;;;;;8;10;11;9;15;12;13;16;13;6.7;67;44.89;448.9;41;n;99;8;54;53;30;41;35;0;0;Fajita;;94;234.5;274.7;201;53.6;
Fajita;n;675;0;5;0;2;2;0;7;0;0;;7;5;5;7;7;4;12;11;16;6.7;67;44.89;448.9;40;n;67;7;43;31;17;27;19;0;0;Fajita;16;58;127.3;180.9;113.9;46.9;16
Fajita;n;683;0;0;0;1;0;4;0;0;0;;8;8;11;6;6;7;6;6;8;6.8;68;46.24;462.4;41;n;58;8;27;39;25;19;23;0;0;Fajita;5;58;156.4;129.2;170;54.4;5
Fajita;n;684;0;13;0;15;1;18;0;6;0;;10;15;5;6;6;12;8;12;9;8.5;85;72.25;722.5;40;n;73;10;41;42;26;32;17;0;0;Fajita;53;74;144.5;272;221;85;53
Fajita;n;685;0;11;1;0;0;28;0;0;0;;10;12;9;8;8;9;9;10;13;7.8;78;60.84;608.4;60;n;78;10;41;47;29;28;25;0;0;Fajita;40;75;195;218.4;226.2;78;40
Fajita;n;687;0;0;0;0;11;19;2;0;0;;13;15;10;10;8;12;24;25;20;7.9;79;62.41;624.1;44;n;124;13;81;56;35;61;28;0;0;Fajita;32;117;221.2;481.9;276.5;102.7;32
Fajita;n;691;0;35;15;15;4;8;7;25;5;;7;9;11;12;10;9;6;9;7;9.8;98;96.04;960.4;43;n;73;7;31;49;32;24;33;0;0;Fajita;109;73;323.4;235.2;313.6;68.6;114
Fajita;n;696;0;20;0;0;3;11;5;0;0;;7;10;12;13;11;10;11;12;12;6.2;62;38.44;384.4;43;n;91;7;45;53;35;33;36;0;0;Fajita;39;86;223.2;204.6;217;43.4;39
Fajita;n;697;7;16;0;5;4;25;1;;;;21;22;11;12;13;24;20;;;7.2;72;51.84;518.4;47;n;102;21;44;79;45;44;36;0;0;Fajita;;;259.2;316.8;324;151.2;
Fajita;n;699;1;0;0;0;0;33;3;0;0;;7;8;11;3;4;8;8;7;7;6.7;67;44.89;448.9;46;n;56;7;30;33;22;23;18;0;0;Fajita;37;56;120.6;154.1;147.4;46.9;37
Fajita;n;700;0;37;2;12;9;30;11;10;0;;12;16;8;8;7;9;11;13;16;15.4;154;237.16;2371.6;80;n;88;12;49;51;32;33;23;0;0;Fajita;111;84;354.2;508.2;492.8;184.8;111
